"10","N05CA06","SECOBARBITAL","28:24.04","BARBITURATES","",""
"79851","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79854","C09CA03","VALSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"79855","C09CA03","VALSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"79856","C09CA03","VALSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"79857","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79859","L02BG03","ANASTROZOLE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"7986","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79864","J01DI01","CEFTOBIPROLE MEDOCARIL","08:12.06","CEPHALOSPORINS","",""
"79868","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"7987","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79870","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79871","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"7988","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79880","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79881","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79882","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79883","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES","",""
"79884","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"79884","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","48:08.00","ANTITUSSIVES","",""
"7989","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79892","D08AC02","CHLORHEXIDINE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"79895","C10AA05","ATORVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS","",""
"79897","C10AA05","ATORVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS","",""
"79898","C10AA05","ATORVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS","",""
"79899","C10AA05","ATORVASTATIN","24:06.08","HMG-COA REDUCTASE INHIBITORS","",""
"7990","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79900","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79901","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79903","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79907","N06AB10","ESCITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"79908","N06AB10","ESCITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"79909","N06AB10","ESCITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"7991","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79910","A10BB12","GLIMEPIRIDE","68:20.20","SULFONYLUREAS","",""
"79911","R01AA05","OXYMETAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"79912","R01AA05","OXYMETAZOLINE","52:32.00","VASOCONSTRICTORS","",""
"79913","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79914","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"7992","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79926","C08CA55","NIFEDIPINE, COMBINATIONS","24:28.08","DIHYDROPYRIDINES","",""
"79926","C08CA55","NIFEDIPINE, COMBINATIONS","28:08.04.24","SALICYLATES","",""
"79927","C08CA55","NIFEDIPINE, COMBINATIONS","24:28.08","DIHYDROPYRIDINES","",""
"79927","C08CA55","NIFEDIPINE, COMBINATIONS","28:08.04.24","SALICYLATES","",""
"79928","C08CA55","NIFEDIPINE, COMBINATIONS","24:28.08","DIHYDROPYRIDINES","",""
"79928","C08CA55","NIFEDIPINE, COMBINATIONS","28:08.04.24","SALICYLATES","",""
"7993","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79930","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79931","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79933","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","12:12.04","ALPHA-ADRENERGIC AGONISTS","",""
"79933","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"79941","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"79947","N02CC03","ZOLMITRIPTAN","28:32.28","SELECTIVE SEROTONIN AGONISTS","",""
"79949","J01MA12","LEVOFLOXACIN","08:12.18","QUINOLONES","",""
"7995","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79950","J01MA12","LEVOFLOXACIN","08:12.18","QUINOLONES","",""
"7996","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79960","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79967","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79969","N06BX13","IDEBENONE","28:92.00","MISCELLANEOUS CENTRAL NERVOUS SYSTEM AGENTS","",""
"7997","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79971","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79977","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79978","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"7998","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79980","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79981","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79982","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79983","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79984","G04CA01","ALFUZOSIN","12:16.04.12","Selective Alfa-1-Adrenergic Blocking Agents","",""
"79989","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"7999","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"79992","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79993","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"79995","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"79998","C09CA01","LOSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"79999","C09CA01","LOSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"8","N05CB01","COMBINATIONS OF BARBITURATES","28:24.04","BARBITURATES","",""
"80","N07BB01","DISULFIRAM","92:04.00","ALCOHOL DETERRENTS","",""
"8000","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80000","C09CA01","LOSARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"8001","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80013","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80017","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80018","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS","",""
"80019","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS","",""
"8002","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80020","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS","",""
"80021","N02AB03","FENTANYL","28:08.08","OPIATE AGONISTS","",""
"80025","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80026","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80027","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8003","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80032","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"80033","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80035","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8004","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80041","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"80044","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80049","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8005","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80050","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80051","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80052","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80055","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80056","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8006","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80066","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"80067","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"80068","C07AB02","METOPROLOL","24:24.00","BETA-ADRENERGIC BLOCKING AGENTS","",""
"80069","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8007","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80070","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80071","J01FA10","AZITHROMYCIN","08:12.12.92","OTHER MACROLIDES","",""
"80072","J01FA10","AZITHROMYCIN","08:12.12.92","OTHER MACROLIDES","",""
"80076","D10AE01","BENZOYL PEROXIDE","84:28.00","KERATOLYTIC AGENTS","",""
"8008","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80090","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80092","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"801","N06BA04","METHYLPHENIDATE","28:20.32","Respiratory and CNS Stimulants","",""
"80107","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES","28:08.04.24","SALICYLATES","",""
"80109","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80110","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80111","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80112","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80113","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80114","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80124","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80128","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80134","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80139","D08AJ08","BENZETHONIUM CHLORIDE","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"80141","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80146","J07BK02","ZOSTER, LIVE ATTENUATED","80:12.00","VACCINES","",""
"80150","C09CA04","IRBESARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80151","C09CA04","IRBESARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80152","C09CA04","IRBESARTAN","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80153","C09DA04","IRBESARTAN AND DIURETICS","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80153","C09DA04","IRBESARTAN AND DIURETICS","40:28.20","THIAZIDE DIURETICS","",""
"80154","C09DA04","IRBESARTAN AND DIURETICS","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80154","C09DA04","IRBESARTAN AND DIURETICS","40:28.20","THIAZIDE DIURETICS","",""
"80155","C09DA04","IRBESARTAN AND DIURETICS","24:32.08","ANGIOTENSIN II RECEPTOR ANTAGONISTS","",""
"80155","C09DA04","IRBESARTAN AND DIURETICS","40:28.20","THIAZIDE DIURETICS","",""
"80158","R05DA20","COMBINATIONS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"80158","R05DA20","COMBINATIONS","48:08.00","ANTITUSSIVES","",""
"8016","","","92:02.00*","HOMEOPATHIC PRODUCTS","",""
"80169","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"80170","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"80171","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"80173","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80174","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80175","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80176","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80177","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80178","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8018","A11HA03","TOCOPHEROL (VIT E)","88:20.00","VITAMIN E","",""
"80180","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"80180","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80183","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80184","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80185","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80186","N02BE01","ACETAMINOPHEN (PARACETAMOL)","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80187","L02BG04","LETROZOLE","10:00.00","ANTINEOPLASTIC AGENTS","",""
"8019","A11HA05","BIOTIN","88:08.00","VITAMIN B COMPLEX","",""
"80193","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80194","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"802","C04AB01","PHENTOLAMINE","12:16.04.04","Non-Selective Alfa-Adrenergic Blocking Agents","",""
"8020","A11GB01","ASCORBIC ACID (VIT C) AND CALCIUM","88:28.01*","VITAMINS & MINERALS","",""
"80200","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80203","A10BB01","GLIBENCLAMIDE","68:20.20","SULFONYLUREAS","",""
"80209","R06AE07","CETIRIZINE","04:08.00","SECOND GENERATION ANTIHISTAMINES","",""
"8021","A11HA01","NICOTINAMIDE","88:08.00","VITAMIN B COMPLEX","",""
"80211","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"80211","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80212","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.20","PROPYLAMINE DERIVATIVES","",""
"80212","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"80217","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"80218","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"80219","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8022","B03AE10","VARIOUS COMBINATIONS","88:28.01*","VITAMINS & MINERALS","",""
"80222","N05AH04","QUETIAPINE","28:16.08.04","ATYPICAL ANTIPSYCHOTICS","",""
"80226","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80227","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80228","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80229","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8023","A11JB","VITAMINS WITH MINERALS","88:28.01*","VITAMINS & MINERALS","",""
"80230","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80238","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"80239","N02BA01","ACETYLSALICYLIC ACID","28:08.04.24","SALICYLATES","",""
"8024","B03BA51","CYANOCOBALAMIN, COMBINATIONS","88:08.00","VITAMIN B COMPLEX","",""
"80252","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80253","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80255","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80256","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8026","A11HA31","CALCIUM PANTOTHENATE","88:08.00","VITAMIN B COMPLEX","",""
"80267","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80268","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80269","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8027","A11HA02","PYRIDOXINE (VIT B6)","88:08.00","VITAMIN B COMPLEX","",""
"80279","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","04:04.04","ETHANOLAMINE DERIVATIVES","",""
"80279","N02BE51","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS","28:08.92","MISCELLANEOUS ANALGESICS AND ANTIPYRETICS","",""
"8028","A11CB","VITAMIN A AND D IN COMBINATION","88:04.01*","VITAMIN A AND D","",""
"80283","S01JA01","FLUORESCEIN","36:58.00","OCULAR DISORDERS","",""
"80284","J01DC10","CEFPROZIL","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"80285","J01DC10","CEFPROZIL","08:12.06.08","SECOND GENERATION CEPHALOSPORINS","",""
"8029","A12CX","OTHER MINERAL PRODUCTS","88:29.00*","MINERALS","",""
"80292","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"80293","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"80294","C09AA03","LISINOPRIL","24:32.04","ANGIOTENSIN-CONVERTING ENZYME INHIBITORS","",""
"80295","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES","",""
"80296","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES","",""
"80297","J01MA02","CIPROFLOXACIN","08:12.18","QUINOLONES","",""
"803","C02AA02","RESERPINE","24:08.32","PERIPHERAL ADRENERGIC INHIBITORS","",""
"80303","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"8031","A11CB","VITAMIN A AND D IN COMBINATION","88:04.01*","VITAMIN A AND D","",""
"80319","D02BA02","OCTYL METHOXYCINNAMATE","84:80.00","SUNSCREEN AGENTS","",""
"8032","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:08.00","VITAMIN B COMPLEX","",""
"8032","A11EB","VITAMIN B-COMPLEX WITH VITAMIN C","88:12.00","VITAMIN C","",""
"80320","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80326","D10AE01","BENZOYL PEROXIDE","84:28.00","KERATOLYTIC AGENTS","",""
"80327","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80329","D11AX12","PYRITHIONE ZINC","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"8033","A12AX","CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS","88:28.01*","VITAMINS & MINERALS","",""
"80331","N06AX12","BUPROPION","28:16.04.92","MISCELLANEOUS ANTIDEPRESSANTS","",""
"80337","M01AE01","IBUPROFEN","28:08.04.92","OTHER NONSTEROIDAL ANTIIMFLAMMATORY AGENTS","",""
"8035","B05ZA","HEMODIALYTICS, CONCENTRATES","40:34.00*","HEMODIALYSIS SOLUTION","",""
"80352","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"8036","D08AE05","CHLOROXYLENOL","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"80360","A05AA02","URSODEOXYCHOLIC ACID","56:14.00","CHOLELITHOLYTIC AGENTS","",""
"80361","A05AA02","URSODEOXYCHOLIC ACID","56:14.00","CHOLELITHOLYTIC AGENTS","",""
"80362","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80365","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80367","N06AB10","ESCITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"80369","N06AB10","ESCITALOPRAM","28:16.04.20","SELECTIVE-SEROTONIN REUPTAKE INHIBITORS","",""
"8037","J01DD04","CEFTRIAXONE","08:12.06.12","THIRD GENERATION CEPHALOSPORINS","",""
"80373","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80374","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"80379","D08AJ01","BENZALKONIUM","84:04.92","MISCELLANEOUS LOCAL ANTI-INFECTIVES","",""
"8038","J01DD04","CEFTRIAXONE","08:12.06.12","THIRD GENERATION CEPHALOSPORINS","",""
"80380","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80381","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80382","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80383","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80386","V07AV","TECHNICAL DISINFECTANTS","38:00.00","DISINFECTANTS (FOR AGENTS USED ON OBJECT)","",""
"8039","A06AB54","PHENOLPHTHALEIN, COMBINATIONS","56:12.00","CATHARTICS AND LAXATIVES","",""
"80392","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80393","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"80398","D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION","84:80.00","SUNSCREEN AGENTS","",""
"804","C02DB02","HYDRALAZINE","24:08.20","DIRECT VASODILATORS","",""
